"","State","Year","Chamber","CI","EI","GDPCurrent","Renewables","NatGas","FarmWages","MiningWages","Population","IncomePC","ManuUnion","TotalProd","CoalProd","RenProd","GasProd","OilProd","CoalPrice","NatPrice","OilPrice","Emissions","Area","GDPpc","CoalValue","NatValue","OilValue","CI_Lag1","EI_Lag1","Emissions_Lag1","Weighted_GHI","Weighted_Speed120m"
"382","KY",2011,NA,77.1,11.01,171586.9,1.04675324004083,1.11838482510886,0.0029859095211867,0.021120918621665,4371,34607,1.122,2849870,1.9206749781569,1.04704074220929,1.04704074220929,1.00473390014281,2.44,7.05,25.65,151.2,39650,39.255753832075,38.3110170997902,6.5081302826731,3.01672825839269,77.1,11.01,151.2,0.639566729073384,1.35405766453134
"383","KY",2012,NA,76.3,10.67,178143.7,1.04226783184844,1.12244353519855,0.00403875016807632,0.0175797479874609,4388,35631,1.148,2398836,1.9143084395932,1.049445230937,1.049445230937,1.00773208339378,2.47,5.71,25.3,140.6,39650,40.5979261622607,31.4102346588737,4.80181173962369,3.63419026325377,76.3,10.67,140.6,0.639566729073384,1.35405766453134
"384","KY",2013,NA,76.3,10.14,184524.4,1.05239433070456,1.12800991914894,0.00405247463902588,0.0150122980648452,4407,35759,1.171,2140834,1.90621692293751,1.04985533675194,1.04985533675194,1.00624476255515,2.4,6.67,25.63,139.7,39650,41.8707510778307,26.2332157698386,4.85803958717655,2.85692228236483,76.3,10.14,139.7,0.639566729073384,1.35405766453134
"385","KY",2014,NA,75.8,9.8,187983.8,1.05432146368086,1.1474191613771,0.00399436230372352,0.0136755371772417,4417,37226,1.151,2071588,1.90236813497665,1.05083974226535,1.05083974226535,1.00735233067579,2.38,7.4,24.48,140.4,39650,42.5591577994114,24.6670250308803,5.14589235880964,2.98344155187841,75.8,9.8,140.4,0.639566729073384,1.35405766453134
"386","KY",2015,NA,74.9,9.45,193413.1,1.05169888329441,1.16010508401459,0.00320087114367838,0.0109782285877704,4429,38768,1.136,1685763,1.88151122073506,1.06411340146865,1.06411340146865,1.00970599069976,2.27,6.03,17,131.3,39650,43.66969970648,18.4407169421306,4.36958768563246,2.43813423185917,74.9,9.45,131.3,0.639566729073384,1.35405766453134
"387","KY",2016,NA,74.2,9.25,196484.9,1.05393126754742,1.16435421390501,0.00353418644176651,0.00773084427377352,4440,39321,1.155,1235516,1.84266088015048,1.08303494248557,1.08303494248557,1.01201846030323,2.15,5.22,14.72,126.8,39650,44.2533558558559,12.3922756914145,3.72552761051867,2.11243805503629,74.2,9.25,126.8,0.639566729073384,1.35405766453134
"388","KY",2017,NA,72.2,8.93,201872.2,1.06226029995244,1.17861860523923,0.00345890644804555,0.0077150213511987,4456,40404,1.134,1220205,1.83191594854963,1.08301473932659,1.08301473932659,1.01161771997328,2.04,5.76,17.22,116.8,39650,45.3034560143627,11.2580757528773,3.89024045906271,2.20923396089209,72.2,8.93,116.8,0.639566729073384,1.35405766453134
"389","KY",2018,10.785,71.5,9.28,208558.6,1.05953230190497,1.20453075361554,0.00315741565016891,0.00766669617025085,4464,41658,1.102,1154683,1.82747472682979,1.0832133148232,1.0832133148232,1.0111926823206,2,5.42,19.83,122.8,39650,46.7201164874552,10.1626142484654,3.49704735263854,2.22882930744644,71.5,9.28,122.8,0.639566729073384,1.35405766453134
"390","KY",2019,10.796,70.2,8.87,218494.7,1.05938165427164,1.2109358117934,0.00245103022696998,0.00727631079776884,4472,43445,1.137,1045869,1.81558015391985,1.08542083186326,1.08542083186326,1.01364702462737,1.98,5.18,18.71,114.7,39650,48.858385509839,8.72979939559175,3.11801943021959,2.22221651143025,70.2,8.87,114.7,0.639566729073384,1.35405766453134
"391","KY",2020,10.798,69,8.41,216865.6,1.06358594471078,1.21688958874709,0.00260537423235757,0.0051400076724417,4507,47026,1.151,756008,1.75540073650014,1.10812319446355,1.10812319446355,1.01705008412609,1.93,4.9,15.18,101.2,39650,48.1175061016197,6.08241865007636,2.84693100242731,1.90226481286105,69,8.41,101.2,0.639566729073384,1.35405766453134
